"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Apr 29 08:21:09 UTC 2024","Mon Apr 29 08:21:09 UTC 2024","0","","23. Change Portfolio for Interactive Brokers","","","","6. Check Final Review",""
"passed","Mon Apr 29 05:39:10 UTC 2024","Mon Apr 29 05:40:13 UTC 2024","63613","","8. Sign Up new user","","","","1. Create a new user",""
"skipped","Mon Apr 29 05:57:45 UTC 2024","Mon Apr 29 05:57:45 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","8. Expand Performance",""
"skipped","Mon Apr 29 08:21:09 UTC 2024","Mon Apr 29 08:21:09 UTC 2024","0","","23. Change Portfolio for Interactive Brokers","","","","2. Direct user to “Investment Choice”",""
"skipped","Mon Apr 29 08:21:09 UTC 2024","Mon Apr 29 08:21:09 UTC 2024","1","","23. Change Portfolio for Interactive Brokers","","","","5. Complete Build Your Portfolio",""
"skipped","Mon Apr 29 05:57:45 UTC 2024","Mon Apr 29 05:57:45 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","7. Expand Portfolio",""
"skipped","Mon Apr 29 06:20:08 UTC 2024","Mon Apr 29 06:20:08 UTC 2024","0","","13. Client Portal - Change Portfolio","","","","6. Submit Change",""
"passed","Mon Apr 29 05:59:51 UTC 2024","Mon Apr 29 06:00:07 UTC 2024","16292","","11. Client Portal - Administration","","","","1. Direct user to “Administration” page",""
"skipped","Mon Apr 29 06:20:08 UTC 2024","Mon Apr 29 06:20:08 UTC 2024","0","","13. Client Portal - Change Portfolio","","","","4. Complete Build Your Portfolio",""
"passed","Mon Apr 29 06:43:19 UTC 2024","Mon Apr 29 06:43:34 UTC 2024","14975","","18. Check Admin header","","","","1. Log in using manager login",""
"passed","Mon Apr 29 06:02:14 UTC 2024","Mon Apr 29 06:02:15 UTC 2024","1523","","12. Client Portal - Forms","","","","4. Expand Personal Investment Forms",""
"passed","Mon Apr 29 06:00:07 UTC 2024","Mon Apr 29 06:00:10 UTC 2024","2811","","11. Client Portal - Administration","","","","2. Check Administration Page",""
"broken","Mon Apr 29 05:57:45 UTC 2024","Mon Apr 29 05:57:45 UTC 2024","2","","10. Client Portal - Account Dashboard","","","","1. Direct user to “Your Accounts” page",""
"passed","Mon Apr 29 06:43:34 UTC 2024","Mon Apr 29 06:47:41 UTC 2024","247142","","18. Check Admin header","","","","2. Check Navbar",""
"skipped","Mon Apr 29 05:57:45 UTC 2024","Mon Apr 29 05:57:45 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","3. Direct user to Account Dashboard",""
"passed","Mon Apr 29 06:38:15 UTC 2024","Mon Apr 29 06:38:25 UTC 2024","10121","","16. Nucleus Wealth Wordpress Site","","","","9. Visit Get Started",""
"passed","Mon Apr 29 05:41:42 UTC 2024","Mon Apr 29 05:41:59 UTC 2024","16410","","9. Client Portal - Home","","","","1. Check links",""
"broken","Mon Apr 29 06:20:08 UTC 2024","Mon Apr 29 06:20:08 UTC 2024","1","","13. Client Portal - Change Portfolio","","","","1. Direct user to “Your Account(s)” page",""
"passed","Mon Apr 29 06:50:21 UTC 2024","Mon Apr 29 06:50:25 UTC 2024","4248","","19. Look Up Investment Account","","","","4. Expand Account ID 445",""
"passed","Mon Apr 29 06:00:10 UTC 2024","Mon Apr 29 06:00:28 UTC 2024","17531","","11. Client Portal - Administration","","","","4. Check Administration Page",""
"failed","Mon Apr 29 06:38:25 UTC 2024","Mon Apr 29 06:40:57 UTC 2024","152265","","16. Nucleus Wealth Wordpress Site","","","","10. Check wordpress image uploaded date",""
"passed","Mon Apr 29 06:38:03 UTC 2024","Mon Apr 29 06:38:15 UTC 2024","12015","","16. Nucleus Wealth Wordpress Site","","","","8. Visit Member Login",""
"passed","Mon Apr 29 06:37:41 UTC 2024","Mon Apr 29 06:37:43 UTC 2024","2627","","16. Nucleus Wealth Wordpress Site","","","","3. Visit Ethical Investing",""
"passed","Mon Apr 29 06:49:54 UTC 2024","Mon Apr 29 06:50:09 UTC 2024","14551","","19. Look Up Investment Account","","","","1. Log in using manager login",""
"passed","Mon Apr 29 07:24:04 UTC 2024","Mon Apr 29 07:24:10 UTC 2024","6017","","21. Forgot password function","","","","1. Direct to forgot password page",""
"skipped","Mon Apr 29 08:21:09 UTC 2024","Mon Apr 29 08:21:09 UTC 2024","0","","23. Change Portfolio for Interactive Brokers","","","","4. Complete Risk Profile",""
"passed","Mon Apr 29 06:02:09 UTC 2024","Mon Apr 29 06:02:14 UTC 2024","4835","","12. Client Portal - Forms","","","","3. Expand Superannuation Forms",""
"passed","Mon Apr 29 06:38:01 UTC 2024","Mon Apr 29 06:38:03 UTC 2024","1653","","16. Nucleus Wealth Wordpress Site","","","","7. Visit Contact",""
"passed","Mon Apr 29 06:00:10 UTC 2024","Mon Apr 29 06:00:10 UTC 2024","346","","11. Client Portal - Administration","","","","3. Check Upload Verification Documents",""
"skipped","Mon Apr 29 05:57:45 UTC 2024","Mon Apr 29 05:57:45 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","5. Expand Strategic",""
"skipped","Mon Apr 29 05:57:45 UTC 2024","Mon Apr 29 05:57:45 UTC 2024","1","","10. Client Portal - Account Dashboard","","","","4. Check Tactical Panel",""
"failed","Mon Apr 29 06:24:02 UTC 2024","Mon Apr 29 06:24:20 UTC 2024","18269","","15. Test 2 Factor Login is working","","","","Get SMS and apply it in 2FA form",""
"passed","Mon Apr 29 06:37:37 UTC 2024","Mon Apr 29 06:37:41 UTC 2024","3261","","16. Nucleus Wealth Wordpress Site","","","","2. Visit Investment Options",""
"skipped","Mon Apr 29 06:20:08 UTC 2024","Mon Apr 29 06:20:08 UTC 2024","1","","13. Client Portal - Change Portfolio","","","","5. Check Final Review",""
"skipped","Mon Apr 29 06:20:08 UTC 2024","Mon Apr 29 06:20:08 UTC 2024","0","","13. Client Portal - Change Portfolio","","","","3. Direct user to “Build Your Portfolio”",""
"skipped","Mon Apr 29 05:57:45 UTC 2024","Mon Apr 29 05:57:45 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","2. Overall asset summary panel",""
"broken","Mon Apr 29 08:21:09 UTC 2024","Mon Apr 29 08:21:09 UTC 2024","1","","23. Change Portfolio for Interactive Brokers","","","","1. Log into user with IB access and direct user to “Your Account(s)” page",""
"passed","Mon Apr 29 06:50:09 UTC 2024","Mon Apr 29 06:50:18 UTC 2024","9569","","19. Look Up Investment Account","","","","2. Direct to Investment Account Search",""
"passed","Mon Apr 29 06:50:18 UTC 2024","Mon Apr 29 06:50:21 UTC 2024","2423","","19. Look Up Investment Account","","","","3. Search Account ID 445",""
